:Arabidopsis_lyrata_negative
:centroid_mass	total_ion_count
129.9217	2.207e0
129.9751	9.607e1
130.0232	2.492e2
130.0499	1.128e2
130.0874	3.226e2
130.1462	2.872e1
130.3762	6.642e0
130.6011	1.511e1
130.6386	3.643e0
130.6654	1.130e1
130.6921	8.433e0
130.8744	4.479e1
130.9012	3.706e1
130.9977	1.786e3
131.0407	1.484e3
131.1158	4.985e1
131.1534	2.541e1
131.1802	3.418e1
131.2070	4.407e1
131.2500	7.637e1
131.3037	3.495e1
131.3521	6.559e1
131.4004	5.514e1
131.4756	6.579e1
131.5240	5.082e1
131.5670	4.762e1
131.5993	6.415e1
131.6692	1.028e2
131.7445	5.105e1
131.7714	5.039e1
131.8252	1.014e2
131.8844	4.167e2
131.9813	1.457e3
132.0298	1.363e4
132.1429	3.706e2
132.1752	4.765e2
132.2076	2.485e2
132.2561	8.704e2
132.3370	4.867e2
132.3855	2.198e2
132.4178	4.321e2
132.4448	3.644e2
132.4934	3.133e2
132.5312	4.270e2
132.5851	5.861e2
132.6175	2.770e2
132.6445	5.297e2
132.7093	6.073e2
132.7417	6.898e2
132.7849	5.844e2
132.8173	3.681e2
132.8443	7.217e2
132.8821	8.383e2
132.9470	6.810e2
133.0172	1.492e5
133.1416	1.294e2
133.1957	4.007e2
133.2336	2.136e2
133.2823	3.394e2
133.3093	1.683e2
133.3472	1.617e2
133.3959	4.658e2
133.5096	8.230e2
133.5638	2.138e2
133.5909	3.010e2
133.6288	2.145e2
133.6559	3.041e2
133.7264	7.637e2
133.8077	2.126e2
133.8348	3.351e2
133.8836	2.527e2
133.9324	1.937e2
134.0192	8.003e3
134.1223	2.035e2
134.1820	1.484e2
134.2092	1.143e2
134.2472	1.040e2
134.2798	6.471e1
134.3070	9.901e1
134.3450	1.591e2
134.3939	1.267e2
134.4373	1.500e2
134.4917	1.393e2
134.5243	1.861e2
134.6059	1.306e2
134.6331	7.092e1
134.6766	1.424e2
134.7310	1.375e2
134.7854	1.577e2
134.8344	1.778e2
134.9215	2.933e2
134.9759	8.481e1
135.0249	3.044e3
135.1176	7.876e1
135.1666	9.017e1
135.2102	8.806e1
135.2592	6.587e1
135.2920	6.772e1
135.3410	3.601e1
135.3683	4.179e1
135.4010	5.364e1
135.4556	6.816e1
135.5047	8.000e1
135.5428	2.623e1
135.5920	1.334e2
135.6902	1.261e1
135.7175	5.817e1
135.7558	6.101e1
135.8049	2.035e1
135.8541	5.160e1
135.9251	8.556e2
136.0289	2.721e2
136.0891	4.370e1
136.1274	1.966e1
136.1711	5.214e1
136.1985	1.553e1
136.2696	5.823e1
136.3790	5.579e1
136.4447	1.918e1
136.4995	2.802e1
